N;Endereço;Ebionita;Brit Hadasha Netzari;BJ;ACF;ARC;BRP;SBP;RCS;ARA;AKJ;TIS;NA28;PEH;PHA;PYP
98;Mat 5:8;"Felizes os limpos de coração, porque eles verão a Elohim;";Benditos os limpos de coração, porque eles verão a Elohim.;Bem-aventurados os puros de coração, porque verão a Deus.;" Bem-aventurados os limpos de coração, porque eles verão a Deus;";" bem-aventurados os limpos de coração, porque eles verão a Deus;";" Bem-aventurados os limpos de coraçäo, porque eles veräo a Deus;"; Felizes os íntegros de coraçäo, porque häo-de ver Deus!;Felizes os íntegros de coração, porque hão de ver Deus!; Bem-aventurados os limpos de coração, porque verão a Deus.; Bem-aventurados os limpos de coração, porque verão a Deus.; μακάριοι οἱ καθαροὶ τῇ καρδίᾳ, ὅτι αὐτοὶ τὸν θεὸν ὄψονται.; μακάριοι οἱ καθαροὶ τῇ καρδίᾳ, ὅτι αὐτοὶ τὸν θεὸν ὄψονται.;טוביהון לאילין דדכין בלבהון דהנון נחזון לאלהא;טֻובַ̅יהֻון לַאילֵין דַּד̅כֵ̅ין בּלֵבּהֻון֑ דּהֵנֻון נֵחזֻון לַאלָהָא ס ;  0hl0l  Jwzxn  Jwnhd  Jwhblb  Nykdd  Nyly0l  Jwhybw=  
99;Mat 5:9;"Felizes os que perseguem a paz, porque eles serão chamados filhos de Elohim;";Benditos os pacificadores, porque eles serão chamados filhos de Elohim.;Bem-aventurados os que promovem a paz, porque serão chamados filhos de Deus. ;" Bem-aventurados os pacificadores, porque eles serão chamados filhos de Deus;";" bem-aventurados os pacificadores, porque eles serão chamados filhos de Deus;";" Bem-aventurados os pacificadores, porque eles seräo chamados filhos de Deus;"; Felizes os que promovem a paz, porque Deus lhes chamará seus filhos!;Felizes os que promovem a paz, porque Deus lhes chamará seus filhos!; Bem-aventurados os pacificadores, porque serão chamados filhos de Deus.; Bem-aventurados os pacificadores, porque serão chamados filhos de Deus.; μακάριοι οἱ εἰρηνοποιοί, ὅτι υἱοὶ θεοῦ κληθήσονται.; μακάριοι οἱ εἰρηνοποιοί, ὅτι αὐτοὶ υἱοὶ θεοῦ κληθήσονται.;טוביהון לעבדי שׁלמא דבנוהי דאלהא נתקרון;טֻובַ̅יהֻון לעָב̅דַּי֞ שׁלָמָא֑ דַּב̅נַוה֗י֞ דַּאלָהָא נֵת̅קרֻון ס ;  Jwrqtn  0hl0d  Yhwnbd  0ml4  Ydb9l  Jwhybw=  
100;Mat 5:10;Não consta na obra original.;Benditos os que são perseguidos por causa da justiça, porque deles é o reino dos céus.;"Bem-aventurados os que são perseguidos por causa da justiça, porque deles é o Reino dos Céus. ""Bem-aventurados sois, quando vos injuriarem e vos perseguirem e, mentindo, disserem todo o mal contra vós por causa de mim.";" Bem-aventurados os que sofrem perseguição por causa da justiça, porque deles é o reino dos céus;";" bem-aventurados os que sofrem perseguição por causa da justiça, porque deles é o Reino dos céus;";" Bem-aventurados os que sofrem perseguiçäo por causa da justiça, porque deles é o reino dos céus;"; Felizes os que säo perseguidos por procurarem que se cumpra a vontade de Deus, porque é deles o reino dos céus!;Felizes os que são perseguidos por procurarem que se cumpra a vontade de Deus, porque é deles o reino dos céus!; Bem-aventurados os perseguidos por causa da justiça, porque deles é o reino dos céus.; Bem-aventurados os que sofrem perseguição por causa da justiça, porque deles é o Reino dos Céus.; μακάριοι οἱ δεδιωγμένοι ἕνεκεν δικαιοσύνης, ὅτι αὐτῶν ἐστιν ἡ βασιλεία τῶν οὐρανῶν.; μακάριοι οἱ δεδιωγμένοι ἕνεκεν δικαιοσύνης, ὅτι αὐτῶν ἐστιν ἡ βασιλεία τῶν οὐρανῶν.;טוביהון לאילין דאתרדפו מטל כאנותא דדילהון הי מלכותא דשׁמיא;טֻובַ̅יהֻון לַאילֵין דֵּאת̅רדֵ̅פ̅ו מֵטֻל כִּאנֻותָ̅א֑ דּדִ̅ילהֻון הִ֗י מַלכֻּותָ̅א דַּשׁמַיָא ס ;  0ym4d  Fwklm  Yh  Jwhlydd  Fwn0k  L=m  wpdrt0d  Nyly0l  Jwhybw=  
101;Mat 5:11;Não consta na obra original.;Benditos sois vós, quando vos injuriarem e perseguirem e, mentindo, disserem todo mal contra vós por minha causa.;Não consta na obra original.; Bem-aventurados sois vós, quando vos injuriarem e perseguirem e, mentindo, disserem todo o mal contra vós por minha causa.; bem-aventurados sois vós quando vos injuriarem, e perseguirem, e, mentindo, disserem todo o mal contra vós, por minha causa.; Bem-aventurados sois vós, quando vos injuriarem e perseguirem e, mentindo, disserem todo o mal contra vós por minha causa.; Felizes seräo quando vos insultarem, perseguirem e caluniarem, por serem meus discípulos!;Felizes serão quando vos insultarem, perseguirem e caluniarem, por serem meus discípulos!; Bem-aventurados sois quando, por minha causa, vos injuriarem, e vos perseguirem, e, mentindo, disserem todo mal contra vós.; Bem-aventurados sois vós quando vos insultarem, e perseguirem e, mentindo, disserem todo o mal contra vós, por minha causa.; μακάριοί ἐστε ὅταν ὀνειδίσωσιν ὑμᾶς καὶ διώξωσιν καὶ εἴπωσιν πᾶν πονηρὸν καθ᾽ ὑμῶν ψευδόμενοι ἕνεκεν ἐμοῦ·; μακάριοί ἐστε ὅταν ὀνειδίσωσιν ὑμᾶς καὶ διώξωσιν καὶ εἴπωσιν πᾶν πονηρὸν καθ᾽ ὑμῶν [ψευδόμενοι] ἕνεκεν ἐμοῦ.;טוביכון אמתי דמחסדין לכון ורדפין לכון ואמרין עליכון כל מלא בישׁא מטלתי בדגלותא;טֻובַ̅יכֻּון אֵמַת̅י דַּמחַסדִּין לכֻ̅ו֖ן ורָד̅פִּין לכֻ̅ו֖ן וָאמרִין עלַיכֻּון כֻּל מֵלָא בִּישָׁא מֵטֻלָת̅י בּדַ̅גָּלֻותָ̅א֖ ;  Fwlgdb  Ytl=m    04yb  fm  Lk  Jwkyl9  Nyrm0w  Jwkl  Nypdrw  Jwkl  Nydsxmd  Ytm0  Jwkybw=  
102;Mat 5:12;Não consta na obra original.;"Alegrai−vos e exultai, porque é grande o vosso galardão nos céus; porque assim perseguiram aos profetas que foram antes de vós.";Alegrai-vos e regozijai-vos, porque será grande a vossa recompensa nos céus, pois foi assim que perseguiram os profetas, que vieram antes de vós. ;" Exultai e alegrai-vos, porque é grande o vosso galardão nos céus; porque assim perseguiram os profetas que foram antes de vós.";" Exultai e alegrai- vos, porque é grande o vosso galardão nos céus; porque assim perseguiram os profetas que foram antes de vós.";" Exultai e alegrai-vos, porque é grande o vosso galardäo nos céus; porque assim perseguiram os profetas que foram antes de vós.";" Alegrem-se e encham-se de satisfaçäo porque é grande a recompensa que vos espera no céu. Pois assim também foram tratados os profetas que vos precederam."" ";"Alegrem-se e encham-se de satisfação porque é grande a recompensa que vos espera no céu. Pois assim também foram tratados os profetas que vos precederam ."" ";" Regozijai-vos e exultai, porque é grande o vosso galardão nos céus; pois assim perseguiram aos profetas que viveram antes de vós.";" Exultai e alegrai-vos sobremaneira, pois é esplêndida a vossa recompensa nos céus; porque assim perseguiram os profetas que viveram antes de vós. O cristão deve ser sal e luz"; χαίρετε καὶ ἀγαλλιᾶσθε, ὅτι ὁ μισθὸς ὑμῶν πολὺς ἐν τοῖς οὐρανοῖς· οὕτως γὰρ ἐδίωξαν τοὺς προφήτας τοὺς πρὸ ὑμῶν.; χαίρετε καὶ ἀγαλλιᾶσθε, ὅτι ὁ μισθὸς ὑμῶν πολὺς ἐν τοῖς οὐρανοῖς· οὕτως γὰρ ἐδίωξαν τοὺς προφήτας τοὺς πρὸ ὑμῶν.;הידין חדו ורוזו דאגרכון סגי בשׁמיא הכנא גיר רדפו לנביא דמן קדמיכון;הָידֵּין חדַ̅ו וַרוַזו֑ דַּאג̅רכֻ̅ון סגִ̅י בַּשׁמַיָא֖ הָכַ̅נָא גֵּיר רדַ̅פ̅ו לַנבִ̅יֵא֞ דּמֵן קדָ̅מַיכֻּון ס ;  Jwkymdq  Nmd  0ybnl  wpdr  ryg  0nkh  0ym4b  Ygs  Jwkrg0d  wzwrw  wdx  Nydyh  
103;Mat 5:13;Naquele tempo Yeshua disse aos seus discípulos: Vós sois o sal do mundoSe o sal for neutralizado em relação a seu sabor, com o que se salgará? Não serve para nada senão para se lançar fora e ser pisado por pés.;"Vós sois o sal da terra; mas se o sal se tornar insípido, com que se há de restaurar−lhe o sabor? para nada mais presta, senão para ser lançado fora, e ser pisado pelos homens.";Vós sois o sal da terra. Ora, se o sal se tornar insosso, com que o salgaremos? Para nada mais serve, senão para ser lançado fora e pisado pelos homens. ;" Vós sois o sal da terra; e se o sal for insípido, com que se há de salgar? Para nada mais presta senão para se lançar fora, e ser pisado pelos homens.";" Vós sois o sal da terra; e, se o sal for insípido, com que se há de salgar? Para nada mais presta, senão para se lançar fora e ser pisado pelos homens.";" Vós sois o sal da terra; e se o sal for insípido, com que se há de salgar? Para nada mais presta senäo para se lançar fora, e ser pisado pelos homens.";" ""Vocês säo o sal do mundo. Mas se o sal perder as suas qualidades, poderá novamente salgar? Já näo presta para nada, senäo para se deitar fora e ser pisado por quem passa.";"""Vocês são o sal do mundo. Mas se o sal perder as suas qualidades, poderá novamente salgar? Já não presta para nada, senão para se deitar fora e ser pisado por quem passa.";" Vós sois o sal da terra; ora, se o sal vier a ser insípido, como lhe restaurar o sabor? Para nada mais presta senão para, lançado fora, ser pisado pelos homens."; Vós sois o sal da terra. Mas se o sal perder o seu sabor, com o que se há de temperar? Para nada mais presta, senão para se lançar fora e ser pisado pelos homens.;" Ὑμεῖς ἐστε τὸ ἅλας τῆς γῆς· ἐὰν δὲ τὸ ἅλας μωρανθῇ, ἐν τίνι ἁλισθήσεται; εἰς οὐδὲν ἰσχύει ἔτι εἰ μὴ βληθὲν ἔξω καταπατεῖσθαι ὑπὸ τῶν ἀνθρώπων.";" Ὑμεῖς ἐστε τὸ ἅλας τῆς γῆς· ἐὰν δὲ τὸ ἅλας μωρανθῇ, ἐν τίνι ἁλισθήσεται; εἰς οὐδὲν ἰσχύει ἔτι εἰ μὴ βληθὲν ἔξω καταπατεῖσθαι ὑπὸ τῶν ἀνθρώπων.";אנתון אנון מלחה דארעא אנהו דין דמלחא תפכה במנא תתמלח למדם לא אזלא אלא דתשׁתדא לבר ותתדישׁ מן אנשׁא;אַנ֗תֻּון אֵנֻון מֵלחָה דַּארעָא֖ אֵנהֻו דֵּין דּמֵלחָא תֵּפ̅כַּה֑ בּמָנָא תֵּת̅מלַח֖ למֵדֵּם לָא אָזָל֗א֑ אֵלָא דּתֵ̅שׁתּדֵ̅א לבַ̅ר֖ ותֵ̅תּדִ̅ישׁ מֵן א֗נָשָׁא ס ;  04n0  Nm  $ydttw  rbl  0dt4td    f0  fz0  f  Mdml  Xlmtt  0nmb  hkpt  0xlmd  Nyd  whn0  09r0d  hxlm  Jwn0  Jwtn0  
104;Mat 5:14;"Vós sois a luz do mundoUma cidade edificada sobre um monte não se pode esconder;";"Vós sois a luz do mundo. Não se pode esconder uma cidade situada sobre um monte;";Vós sois a luz do mundo. Não se pode esconder uma cidade situada sobre um monte. ;" Vós sois a luz do mundo; não se pode esconder uma cidade edificada sobre um monte;";" Vós sois a luz do mundo; não se pode esconder uma cidade edificada sobre um monte;";" Vós sois a luz do mundo; näo se pode esconder uma cidade edificada sobre um monte;"; Vocês säo a luz do mundo. Uma cidade situada no alto de um monte näo se pode esconder.;Vocês são a luz do mundo. Uma cidade situada no alto de um monte não se pode esconder.;" Vós sois a luz do mundo. Não se pode esconder a cidade edificada sobre um monte;"; Vós sois a luz do mundo. Uma cidade edificada sobre um monte não pode ser escondida.; Ὑμεῖς ἐστε τὸ φῶς τοῦ κόσμου. οὐ δύναται πόλις κρυβῆναι ἐπάνω ὄρους κειμένη·; Ὑμεῖς ἐστε τὸ φῶς τοῦ κόσμου. οὐ δύναται πόλις κρυβῆναι ἐπάνω ὄρους κειμένη·;אנתון אנון נוהרה דעלמא לא משׁכחא דתטשׁא מדינתא דעל טורא בניא;אַנ֗תֻּון אֵנֻון נֻוהרֵה דּעָלמָא֖ לָא מֵשׁכּחָא דּתֵ̅טשֵׁא מדִ̅ינ֗תָּא֖ דּעַל טֻורָא בַּניָא֖ ;  0ynb  0rw=  L9d  Fnydm  04=td  0xk4m  f  0ml9d  hrhwn  Jwn0  Jwtn0  
105;Mat 5:15;Nem se acende uma luz para coloca-la em um lugar oculto onde não pode iluminar, mas sim em um lugar onde possa dar luz a todos os cômodos da casa.;nem os que acendem uma candeia a colocam debaixo do alqueire, mas no velador, e assim ilumina a todos que estão na casa.;Nem se acende uma lâmpada e se coloca debaixo do alqueire, mas no candelabro, e assim ela brilha para todos os que estão na casa. ; Nem se acende a candeia e se coloca debaixo do alqueire, mas no velador, e dá luz a todos que estão na casa.; nem se acende a candeia e se coloca debaixo do alqueire, mas, no velador, e dá luz a todos que estão na casa.; Nem se acende a candeia e se coloca debaixo do alqueire, mas no velador, e dá luz a todos que estäo na casa.; Também näo se acende um candeeiro para o pôr debaixo a caixa. Pelo contrário, põe-se mas é num lugar em que alumie bem a todos os que estiverem em casa. ;Também não se acende um candeeiro para o pôr debaixo da caixa. Pelo contrário, põe-se mas é num lugar em que alumie bem a todos os que estiverem em casa . ; nem se acende uma candeia para colocá-la debaixo do alqueire, mas no velador, e alumia a todos os que se encontram na casa.; Igualmente não se acende uma candeia para colocá-la debaixo de um cesto. Ao contrário, coloca-se no velador e, assim, ilumina a todos os que estão na casa.; οὐδὲ καίουσιν λύχνον καὶ τιθέασιν αὐτὸν ὑπὸ τὸν μόδιον ἀλλ᾽ ἐπὶ τὴν λυχνίαν, καὶ λάμπει πᾶσιν τοῖς ἐν τῇ οἰκίᾳ.; οὐδὲ καίουσιν λύχνον καὶ τιθέασιν αὐτὸν ὑπὸ τὸν μόδιον ἀλλ᾽ ἐπὶ τὴν λυχνίαν, καὶ λάμπει πᾶσιν τοῖς ἐν τῇ οἰκίᾳ.;ולא מנהרין שׁרגא וסימין לה תחית סאתא אלא על מנרתא ומנהר לכל אילין דבביתא אנון;ולָא מַנהרִין שׁרָגָ̅א֖ וסָימִין לֵה תּחֵית̅ סַאתָ̅א֑ אֵלָא עַל מנָרתָּא֖ ומַנהַר לכֻ̅ל אַילֵין דַּב̅בַ̅יתָּא אֵנֻון֖ ;  Jwn0    Fybbd  Nyly0  Lkl  rhnmw  Frnm  L9  f0  F0s  tyxt  hl  Nymysw  0gr4  Nyrhnm  fw  
106;Mat 5:16;Assim resplandeça a vossa luz diante de todos os homens, para mostrar-lhes suas boas obras que são elogiadas e glorificadas diante de vosso pai que está nos céus.;Assim resplandeça a vossa luz diante dos homens, para que vejam as vossas boas obras, e glorifiquem a vosso Pai, que está nos céus.;Brilhe do mesmo modo a vossa luz diante dos homens, para que, vendo as vossas boas obras, eles glorifiquem vosso Pai que está nos céus. ; Assim resplandeça a vossa luz diante dos homens, para que vejam as vossas boas obras e glorifiquem a vosso Pai, que está nos céus.; Assim resplandeça a vossa luz diante dos homens, para que vejam as vossas boas obras e glorifiquem o vosso Pai, que está nos céus.; Assim resplandeça a vossa luz diante dos homens, para que vejam as vossas boas obras e glorifiquem a vosso Pai, que está nos céus.;" Do mesmo modo, façam brilhar a vossa luz diante de toda a gente, para que vejam as vossas boas acções e dêem louvores ao vosso Pai que está nos céus.""";"Do mesmo modo, façam brilhar a vossa luz diante de toda a gente, para que vejam as vossas boas ações e deem louvores ao vosso Pai que está nos céus."""; Assim brilhe também a vossa luz diante dos homens, para que vejam as vossas boas obras e glorifiquem a vosso Pai que está nos céus.; Assim deixai a vossa luz resplandecer diante dos homens, para que vejam as vossas boas obras e glorifiquem o vosso Pai que está nos céus. A Lei se cumpre em Cristo; οὕτως λαμψάτω τὸ φῶς ὑμῶν ἔμπροσθεν τῶν ἀνθρώπων, ὅπως ἴδωσιν ὑμῶν τὰ καλὰ ἔργα καὶ δοξάσωσιν τὸν πατέρα ὑμῶν τὸν ἐν τοῖς οὐρανοῖς.; οὕτως λαμψάτω τὸ φῶς ὑμῶν ἔμπροσθεν τῶν ἀνθρώπων, ὅπως ἴδωσιν ὑμῶν τὰ καλὰ ἔργα καὶ δοξάσωσιν τὸν πατέρα ὑμῶν τὸν ἐν τοῖς οὐρανοῖς.;הכנא ננהר נוהרכון קדם בנינשׁא דנחזון עבדיכון טבא ונשׁבחון לאבוכון דבשׁמיא;הָכַ̅נָא נֵנהַר נֻוהרכֻ̅ון קדָ̅ם בּנַינָשָׁא֖֞ דּנֵחזֻון עבָ̅דַ̅יכֻּון֞ טָבֵ̅א֖֞ וַנשַׁבּחֻון לַאבֻ̅וכֻ̅ון דּבַ̅שׁמַיָא ס ;  0ym4bd    Jwkwb0l  Jwxb4nw  0b=  Jwkydb9  Jwzxnd  04nynb  Mdq  Jwkrhwn  rhnn  0nkh  
107;Mat 5:17;Naquele tempo disse Yeshua a seus discípulos: Não pensem que eu vim para anular a Torá, senão praticá-la.;"Não penseis que vim destruir a Torah ou os profetas; não vim destruir, mas cumprir.";Não penseis que vim revogar a Lei e os Profetas. Não vim revogá-los, mas dar-lhes pleno cumprimento, ; Não cuideis que vim destruir a lei ou os profetas: não vim ab-rogar, mas cumprir.;" Não cuideis que vim destruir a lei ou os profetas; não vim ab-rogar, mas cumprir."; Näo cuideis que vim destruir a lei ou os profetas: näo vim ab-rogar, mas cumprir.;" ""Näo pensem que vim anular a Lei de Moisés ou o ensino dos profetas. Näo vim para anular mas para dar cumprimento.";"""Não pensem que vim anular a Lei de Moisés ou o ensino dos profetas. Não vim para anular mas para dar cumprimento.";" Não penseis que vim revogar a Lei ou os Profetas; não vim para revogar, vim para cumprir."; Não penseis que vim destruir a Lei ou os Profetas. Eu não vim para anular, mas para cumprir.; Μὴ νομίσητε ὅτι ἦλθον καταλῦσαι τὸν νόμον ἢ τοὺς προφήτας· οὐκ ἦλθον καταλῦσαι ἀλλὰ πληρῶσαι.; Μὴ νομίσητε ὅτι ἦλθον καταλῦσαι τὸν νόμον ἢ τοὺς προφήτας· οὐκ ἦλθον καταλῦσαι ἀλλὰ πληρῶσαι.;לא תסברון דאתית דאשׁרא נמוסא או נביא לא אתית דאשׁרא אלא דאמלא;לָא תַּסבּרֻון דֵּאתִ̅ית̅ דֵּאשׁרֵא נָמֻוסָא אַו נבִ̅יֵא֖֞ לָא אֵתִ̅ית̅ דֵּאשׁרֵא אֵלָא דֵּאמַלֵא֖ ;  fm0d  f0  0r40d  tyt0  f  0ybn  w0  0swmn  0r40d  tyt0d  Jwrbst  f  
108;Mat 5:18;Em verdade eu vos digo, que ainda que o céu e a terra passem nem uma letra ou tracinho será abolido da Torá ou dos Neviim, porque tudo será praticado.;Porque em verdade vos digo que, até que o céu e a terra passem, de modo nenhum passará da Torah um só Yud ou um só traço, até que tudo seja cumprido.;porque em verdade vos digo que, até que passem o céu e a terra, não será omitido nem um só i, uma só vírgula da Lei, sem que tudo seja realizado. ; Porque em verdade vos digo que, até que o céu e a terra passem, nem um jota ou um til se omitirá da lei, sem que tudo seja cumprido.; Porque em verdade vos digo que, até que o céu e a terra passem, nem um jota ou um til se omitirá da lei sem que tudo seja cumprido.; Porque em verdade vos digo que, até que o céu e a terra passem, nem um jota ou um til se omitirá da lei, sem que tudo seja cumprido.; Saibam que enquanto o Céu e a Terra existirem, nem uma letra, nem sequer um acento se häo-de tirar da lei, sem que tudo se cumpra.;Saibam que enquanto o Céu e a Terra existirem, nem uma letra, nem sequer um acento se hão de tirar da lei, sem que tudo se cumpra.; Porque em verdade vos digo: até que o céu e a terra passem, nem um i ou um til jamais passará da Lei, até que tudo se cumpra.; Com toda a certeza vos afirmo que, até que os céus e a terra passem, nem um iou o mínimo traço se omitirá da Lei até que tudo se cumpra.; ἀμὴν γὰρ λέγω ὑμῖν, ἕως ἂν παρέλθῃ ὁ οὐρανὸς καὶ ἡ γῆ, ἰῶτα ἓν ἢ μία κεραία οὐ μὴ παρέλθῃ ἀπὸ τοῦ νόμου ἕως ἂν πάντα γένηται.; ἀμὴν γὰρ λέγω ὑμῖν· ἕως ἂν παρέλθῃ ὁ οὐρανὸς καὶ ἡ γῆ, ἰῶτα ἓν ἢ μία κεραία οὐ μὴ παρέλθῃ ἀπὸ τοῦ νόμου, ἕως ἂν πάντα γένηται.;אמין גיר אמר אנא לכון דעדמא דנעברון שׁמיא וארעא יוד חדא או חד סרטא לא נעבר מן נמוסא עדמא דכל נהוא;אַמִין גֵּיר אָמַר א֗נָא לכֻ̅ון֑ דַּעדַ̅מָא דּנֵעבּרֻון שׁמַיָא וַארעָא֑ יֻוד̅ חדָ̅א אַו חַד̅ סֵרטָא֑ לָא נֵעבַּר מֵן נָמֻוסָא֖ עדַ̅מָא דּכֻ̅ל נֵהוֵא ס ;  0whn  Lkd  0md9  0swmn    Nm  rb9n  f  0=rs  dx  w0  0dx  dwy  09r0w  0ym4  Jwrb9nd  0md9d  Jwkl  0n0  rm0  ryg  Nym0  
109;Mat 5:19;"E o que transgredir uma palavra destes mandamentos e ensinar a outros, será chamado de filho da falsidade no reino dos CÉUS; porém qualquer que os cumprir e ensinar será chamado de grande no reino dos CÉUS.";"Qualquer, pois, que violar uma destas mitzvot, por menor que seja, e assim ensinar aos homens, será chamado o menor no reino dos céus; aquele, porém, que as cumprir e ensinar será chamado grande no reino dos céus.";Aquele, portanto, que violar um só desses menores mandamentos e ensinar os homens a fazerem o mesmo, será chamado o menor no Reino dos Céus. Aquele, porém, que os praticar e os ensinar, esse será chamado grande no Reino dos Céus. ;" Qualquer, pois, que violar um destes mandamentos, por menor que seja, e assim ensinar aos homens, será chamado o menor no reino dos céus; aquele, porém, que os cumprir e ensinar será chamado grande no reino dos céus.";" Qualquer, pois, que violar um destes menores mandamentos e assim ensinar aos homens será chamado o menor no Reino dos céus; aquele, porém, que os cumprir e ensinar será chamado grande no Reino dos céus.";" Qualquer, pois, que violar um destes mandamentos, por menor que seja, e assim ensinar aos homens, será chamado o menor no reino dos céus; aquele, porém, que os cumprir e ensinar será chamado grande no reino dos céus."; Por isso quem desobedecer ainda que seja a um só destes mandamentos mais pequenos e ensinar os outros a fazerem o mesmo, será considerado o menor no reino dos céus. Mas aquele que obedecer à lei e ensinar os outros a fazerem o mesmo, será tido por grande no reino dos céus.;Por isso quem desobedecer ainda que seja a um só destes mandamentos mais pequenos e ensinar os outros a fazerem o mesmo, será considerado o menor no reino dos céus. Mas aquele que obedecer à lei e ensinar os outros a fazerem o mesmo, será tido por grande no reino dos céus.;" Aquele, pois, que violar um destes mandamentos, posto que dos menores, e assim ensinar aos homens, será considerado mínimo no reino dos céus; aquele, porém, que os observar e ensinar, esse será considerado grande no reino dos céus.";" Qualquer, pois, que violar um destes menores mandamentos e assim ensinar aos homens será chamado o menor no Reino dos Céus; aquele, porém, que os cumprir e ensinar será chamado grande no Reino dos Céus."; ὃς ἐὰν οὖν λύσῃ μίαν τῶν ἐντολῶν τούτων τῶν ἐλαχίστων καὶ διδάξῃ οὕτως τοὺς ἀνθρώπους, ἐλάχιστος κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν· ὃς δ᾽ ἂν ποιήσῃ καὶ διδάξῃ, οὗτος μέγας κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν.; ὃς ἐὰν οὖν λύσῃ μίαν τῶν ἐντολῶν τούτων τῶν ἐλαχίστων καὶ διδάξῃ οὕτως τοὺς ἀνθρώπους, ἐλάχιστος κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν· ὃς δ᾽ ἂν ποιήσῃ καὶ διδάξῃ, οὗτος μέγας κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν.;כל מן הכיל דנשׁרא חד מן פוקדנא הלין זעורא ונלף הכנא לבנינשׁא בצירא נתקרא במלכותא דשׁמיא כל דין דנעבד ונלף הנא רבא נתקרא במלכותא דשׁמיא;כֻּל מַן הָכִ̅יל דּנֵשׁרֵא חַד̅ מֵן פֻּוקדָּנֵא֞ הָלֵין זעֻורֵא֑֞ ונַלֵף̅ הָכַ̅נָא לַב̅נַינָשָׁא֑֞ בּצִירָא נֵת̅קרֵא בּמַלכֻּותָ̅א דַּשׁמַיָא֖ כֻּל דֵּין דּנֵעבֵּד̅ ונַלֵף֑̅ הָנָא רַבָּא נֵת̅קרֵא בּמַלכֻּותָ̅א דַּשׁמַיָא֖ ;  0ym4d  Fwklmb  0rqtn  0br  0nh  Plnw  db9nd  Nyd  Lk  0ym4d  Fwklmb    0rqtn  0rycb  04nynbl  0nkh  Plnw  0rw9z  Nylh  0ndqwp  Nm  dx  0r4nd  Lykh  Nm  Lk  
110;Mat 5:20;E Naquele tempo Yeshua disse aos seus discípulos: Em verdade lhes digo, se a vossa justiça não for maior que a dos fariseus e dos sábios, não entrareis no reino dos CÉUS.;Pois eu vos digo que, se a vossa justiça não exceder a dos professores da Torah e P'rushim, de modo nenhum entrareis no reino dos céus.;Com efeito, eu vos asseguro que se a vossa justiça não exceder a dos escribas e a dos fariseus, não entrareis no Reino dos Céus. ; Porque vos digo que, se a vossa justiça não exceder a dos escribas e fariseus, de modo nenhum entrareis no reino dos céus.; Porque vos digo que, se a vossa justiça não exceder a dos escribas e fariseus, de modo nenhum entrareis no Reino dos céus.; Porque vos digo que, se a vossa justiça näo exceder a dos escribas e fariseus, de modo nenhum entrareis no reino dos céus.;" Digo-vos mais: vocês näo entraräo de maneira nenhuma no reino dos céus, se näo cumprirem a vontade de Deus com mais fidelidade do que os doutores da lei e os fariseus.""";"Digo-vos mais: vocês não entrarão de maneira nenhuma no reino dos céus, se não cumprirem a vontade de Deus com mais fidelidade do que os doutores da lei e os fariseus."""; Porque vos digo que, se a vossa justiça não exceder em muito a dos escribas e fariseus, jamais entrareis no reino dos céus.; Porque vos digo que, se a vossa justiça não exceder a dos escribas e fariseus, de modo nenhum entrareis no Reino dos Céus.; λέγω γὰρ ὑμῖν ὅτι ἐὰν μὴ περισσεύσῃ ὑμῶν ἡ δικαιοσύνη πλεῖον τῶν γραμματέων καὶ Φαρισαίων, οὐ μὴ εἰσέλθητε εἰς τὴν βασιλείαν τῶν οὐρανῶν.; Λέγω γὰρ ὑμῖν ὅτι ἐὰν μὴ περισσεύσῃ ὑμῶν ἡ δικαιοσύνη πλεῖον τῶν γραμματέων καὶ Φαρισαίων, οὐ μὴ εἰσέλθητε εἰς τὴν βασιλείαν τῶν οὐρανῶν.;אמר אנא לכון גיר דאלא תאתר כאנותכון יתיר מן דספרא ופרישׁא לא תעלון למלכותא דשׁמיא;אָמַר א֗נָא לכֻ̅ון גֵּיר֑ דֵּאלָא תִּאתַ̅ר כִּאנֻות̅כֻ̅ון יַתִּיר מֵן דּסָפ̅רֵא֞ וַפ̅רִישֵׁא֑֞ לָא תֵּעלֻון למַלכֻּותָ̅א דַּשׁמַיָא ס ;  0ym4d    Fwklml  Jwl9t  f  04yrpw  0rpsd  Nm  ryty  Jwktwn0k  rt0t  f0d  ryg  Jwkl  0n0  rm0  
